marca,clase,provincia,servicio,cantidad
CHEVROLET,Camión,PICHINCHA,PARTICULAR,2757
CHEVROLET,Camión,GUAYAS,PARTICULAR,2150
HINO,Camión,PICHINCHA,PARTICULAR,1929
HINO,Camión,GUAYAS,PARTICULAR,1749
MITSUBISHI,Camión,GUAYAS,PARTICULAR,1546
FORD,Camión,GUAYAS,PARTICULAR,1349
MITSUBISHI,Camión,PICHINCHA,PARTICULAR,1067
CHEVROLET,Camión,AZUAY,PARTICULAR,928
HINO,Camión,TUNGURAHUA,PARTICULAR,911
DAIHATSU,Camión,GUAYAS,PARTICULAR,818
CHEVROLET,Camión,TUNGURAHUA,PARTICULAR,808
HINO,Camión,AZUAY,PARTICULAR,776
FORD,Camión,LOS RÍOS,PARTICULAR,748
DAIHATSU,Camión,PICHINCHA,PARTICULAR,705
HYUNDAI,Camión,GUAYAS,PARTICULAR,676
KIA,Camión,GUAYAS,PARTICULAR,647
HINO,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,625
HINO,Camión,PICHINCHA,ALQUILER,619
FORD,Camión,MANABÍ,PARTICULAR,584
HINO,Camión,LOS RÍOS,PARTICULAR,556
MITSUBISHI,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,501
HINO,Camión,COTOPAXI,PARTICULAR,491
CHEVROLET,Camión,IMBABURA,PARTICULAR,451
FORD,Camión,PICHINCHA,PARTICULAR,419
CHEVROLET,Camión,LOS RÍOS,PARTICULAR,414
CHEVROLET,Camión,COTOPAXI,PARTICULAR,388
HINO,Camión,MANABÍ,PARTICULAR,381
CHEVROLET,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,380
CHEVROLET,Camión,LOJA,PARTICULAR,378
CHEVROLET,Camión,CHIMBORAZO,PARTICULAR,372
HINO,Volqueta,PICHINCHA,PARTICULAR,360
CHEVROLET,Camión,EL ORO,PARTICULAR,351
CHEVROLET,Camión,CAÑAR,PARTICULAR,350
HINO,Camión,CHIMBORAZO,PARTICULAR,350
MITSUBISHI,Camión,TUNGURAHUA,PARTICULAR,333
FORD,Camión,COTOPAXI,PARTICULAR,332
MACK,Volqueta,PICHINCHA,PARTICULAR,332
CHEVROLET,Camión,MANABÍ,PARTICULAR,329
HINO,Camión,EL ORO,PARTICULAR,328
QMC,Camión,GUAYAS,PARTICULAR,325
HINO,Camión,LOJA,PARTICULAR,324
HYUNDAI,Camión,PICHINCHA,PARTICULAR,318
HINO,Camión,TUNGURAHUA,ALQUILER,318
FORD,Camión,EL ORO,PARTICULAR,302
MERCEDES BENZ,Camión,LOS RÍOS,PARTICULAR,302
DAIHATSU,Camión,TUNGURAHUA,PARTICULAR,299
CHEVROLET,Camión,CARCHI,PARTICULAR,293
HINO,Camión,CAÑAR,PARTICULAR,292
TOYOTA,Camión,GUAYAS,PARTICULAR,289
DAIHATSU,Camión,AZUAY,PARTICULAR,286
MERCEDES BENZ,Camión,GUAYAS,PARTICULAR,285
FORD,Volqueta,MANABÍ,PARTICULAR,285
MITSUBISHI,Camión,EL ORO,PARTICULAR,279
MITSUBISHI,Camión,LOS RÍOS,PARTICULAR,275
MACK,Trailer,GUAYAS,PARTICULAR,271
NISSAN,Camión,GUAYAS,PARTICULAR,269
HYUNDAI,Camión,AZUAY,PARTICULAR,254
MITSUBISHI,Camión,AZUAY,PARTICULAR,251
ISUZU,Camión,GUAYAS,PARTICULAR,249
DAIHATSU,Camión,MANABÍ,PARTICULAR,242
CHEVROLET,Camión,PICHINCHA,ALQUILER,239
FORD,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,232
HINO,Camión,IMBABURA,PARTICULAR,230
MITSUBISHI,Camión,MANABÍ,PARTICULAR,230
TOYOTA,Camión,AZUAY,PARTICULAR,222
FORD,Camión,CHIMBORAZO,PARTICULAR,206
HINO,Camión,AZUAY,ALQUILER,201
HINO,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,199
HINO,Camión,COTOPAXI,ALQUILER,198
FORD,Camión,TUNGURAHUA,PARTICULAR,198
TOYOTA,Camión,LOS RÍOS,PARTICULAR,198
MITSUBISHI,Camión,IMBABURA,PARTICULAR,197
HINO,Volqueta,PICHINCHA,ALQUILER,197
DAIHATSU,Camión,LOS RÍOS,PARTICULAR,197
HINO,Volqueta,MANABÍ,PARTICULAR,195
MERCEDES BENZ,Volqueta,AZUAY,PARTICULAR,192
FORD,Camión,CARCHI,PARTICULAR,192
KIA,Camión,PICHINCHA,PARTICULAR,189
TOYOTA,Camión,EL ORO,PARTICULAR,187
DAIHATSU,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,184
